scenario,target_cloud,seq,email,register_time,status,phase
azure-down,aws,1,rpo-0728235732aws-0001@test.local,23:57:41.520,201,pre-kill
azure-down,aws,2,rpo-0728235732aws-0002@test.local,23:57:47.209,201,pre-kill
azure-down,aws,3,rpo-0728235732aws-0003@test.local,23:57:51.943,201,pre-kill
azure-down,aws,4,rpo-0728235732aws-0004@test.local,23:57:58.150,201,pre-kill
azure-down,aws,5,rpo-0728235732aws-0005@test.local,23:58:05.556,201,outage
azure-down,aws,6,rpo-0728235732aws-0006@test.local,23:58:10.514,201,outage
azure-down,aws,7,rpo-0728235732aws-0007@test.local,23:58:15.212,201,outage
azure-down,aws,8,rpo-0728235732aws-0008@test.local,23:58:20.352,201,outage
azure-down,aws,9,rpo-0728235732aws-0009@test.local,23:58:27.214,201,outage
azure-down,aws,10,rpo-0728235732aws-0010@test.local,23:58:31.246,201,outage
azure-down,aws,11,rpo-0728235732aws-0011@test.local,23:58:35.518,201,outage
azure-down,aws,12,rpo-0728235732aws-0012@test.local,23:58:40.374,201,outage
azure-down,aws,13,rpo-0728235732aws-0013@test.local,23:58:44.933,201,outage
azure-down,aws,14,rpo-0728235732aws-0014@test.local,23:58:49.759,201,outage
azure-down,aws,15,rpo-0728235732aws-0015@test.local,23:58:54.271,201,outage
azure-down,aws,16,rpo-0728235732aws-0016@test.local,23:58:58.988,201,outage
azure-down,aws,17,rpo-0728235732aws-0017@test.local,23:59:03.548,201,outage
aws-down,azure,1,rpo-0728235732azure-0001@test.local,00:01:39.274,201,pre-kill
aws-down,azure,2,rpo-0728235732azure-0002@test.local,00:01:41.563,201,pre-kill
aws-down,azure,3,rpo-0728235732azure-0003@test.local,00:01:43.193,201,pre-kill
aws-down,azure,4,rpo-0728235732azure-0004@test.local,00:01:44.831,201,pre-kill
aws-down,azure,5,rpo-0728235732azure-0005@test.local,00:01:46.449,201,pre-kill
aws-down,azure,6,rpo-0728235732azure-0006@test.local,00:01:48.058,201,pre-kill
aws-down,azure,7,rpo-0728235732azure-0007@test.local,00:01:49.674,201,pre-kill
aws-down,azure,8,rpo-0728235732azure-0008@test.local,00:01:51.325,201,pre-kill
aws-down,azure,9,rpo-0728235732azure-0009@test.local,00:01:52.957,201,pre-kill
aws-down,azure,10,rpo-0728235732azure-0010@test.local,00:01:54.619,201,pre-kill
aws-down,azure,11,rpo-0728235732azure-0011@test.local,00:01:56.234,201,pre-kill
aws-down,azure,12,rpo-0728235732azure-0012@test.local,00:01:57.825,201,pre-kill
